,politician,text,title
0,Mark Totten,"Justice for victims.A few years ago Mark began service as a volunteer federal prosecutor, in addition to his full-time work teaching at MSU College of Law. Lending his expertise in appeals, Mark took on a series of challenging cases and won critical decisions that not only kept dangerous offenders behind bars, but strengthened the laws across Michigan to prevent future crimes and more victims.Mark worked tirelessly, at times giving more than 50 hours of volunteer service a week to protect Michigan families. His tough advocacy protected children from child predators, victims of domestic violence from their abusers, and senior-citizens and low-income folks from predatory lenders. Mark has ensured justice for victims and he'll do the same as Attorney General.Preventing crime; not just reacting to it.Like any prosecutor, Mark loves winning a case. At the same time, he understands it's far better to prevent a crime from happening in the first place. Just talking tough on crime -- while acting dumb on crime -- leaves us less safe. Here's a few ways Mark will be smart on crime.Advocate for education. The evidence is undeniable that kids who drop out of school are much more likely to enter a life of crime. And so the next time the legislature considers yet another round of cuts to public education and the resources our schools need to educate children, Mark will make sure the legislature, the Governor, and the public clearly understand the implications for public safety of the continued assault on public education.Champion prisoner re-entry programs. The old approach of simply warehousing idle prisoners and then dumping them on the streets after they've served their sentence has failed. That approach means more crime and more victims. Mark will support and expand programs like Prison Re-Entry, which prepares prisoners who have served their time to transition back into society as working, law-abiding citizens.",Issue Position: Justice for Victims and Preventing Crime
0,Mark Totten,"Michigan has been one of the states hardest hit by the financial crisis. Whether by foreclosure, falling home prices, or the loss of jobs that followed, we've all been harmed.As Attorney General, Mark Totten will lead the fight to protect Michigan families. He'll demand accountability from wrongdoers, including predatory lenders as well as their Wall Street backers. He'll fight to recover losses for victims. And he'll push for necessary new laws and strong enforcement to ensure these harms never happen again.When fifteen state attorneys general around the nation filed lawsuits against Standard and Poor's -- the credit rating agency on Wall Street that said everything was safe and sound in the years leading up to the crisis -- Michigan's Attorney General was nowhere to be found. When corporations harm people, Mark will be the People's Lawyer.",Issue Position: Protecting Families from Foreclosures and Financial Harm
0,Mark Totten,"Mark will fight to repeal Schuette's drug immunity law, which Schuette championed and passed in 1995, making Michigan the only state in the nation that gives drug companies complete immunity when their products harm or even kill parents and children -- as long as the drug was FDA-approved.Moreover, Bill Schuette has failed to defend Michigan's Consumer Protection Act. This critical law protects people who are harmed by products they buy or services they use. As a result, Michigan's consumer protections are some of the weakest in the nation. As Michigan's Attorney General, Mark Totten will restore consumer protections in Michigan and use those powers to protect Michigan citizens who suffer harm.",Issue Position: Standing-Up for Consumers
0,Mark Totten,"Michigan's Freedom of Information Act and Open Meetings Act protect the political process: they don't guarantee outcomes, but they ensure decision making happens in the sunlight and subject to public scrutiny. Without these vital laws, voters would be unable to hold their elected officials accountable at the polls.The Governor's recent ""Skunk Works"" project -- a stealth campaign to reshape public education with a voucher-like system that was shielded from public scrutiny by conducting official business on personal emails -- exposed one of many weakness in the system. As Attorney General, Mark Totten would issue a formal opinion to close these loopholes.",Issue Position: Ensuring Ethics and Transparency in Government
0,Mark Totten,"The Attorney General has a special responsibility to protect our military service members and veterans -- to serve those who serve. Michigan citizens serving abroad should never return home to find their homes foreclosed. And when the call to serve comes, they should be able to fulfill their mission without worrying about predatory schemes targeting them or their families.When over twenty attorneys general took on www.GIBill.com -- a marketing scheme by for-profit colleges that deceptively presented themselves to veterans as a federally-sponsored website -- Michigan was missing in action. Mark Totten won't just talk about serving those who serve; he'll fight as hard for our servicemen and women at home as they fight for us abroad.",Issue Position: Serving Those Who've Served
0,Mark Totten,"Michigan is blessed with the second longest coastline in the nation, the world's largest bodies of fresh water, towering sand dunes, rugged cliffs, endless rivers, and deep forests. Hikers and hunters, boaters and beachgoers, paddlers and photographers -- and everyone else who simply likes to go for a walk in the woods or a stroll on the beach -- love what Michigan offers.But without active care and accountability, Michigan's Great Lakes and Great Outdoors will suffer. And what Michiganders love today will not be here tomorrow, let alone for future generations.The Michigan Attorney General plays a critical role protecting our lakes and lands. All the laws on the books are meaningless without an active AG who enforces the law. As AG, Mark will hold polluters accountable and send the message to would-be-polluters that the costs of wrongdoing far outweigh any perceived benefits of breaking the law.",Issue Position: Preserving our Great Lakes and Great Outdoors
0,Mark Schauer,"For eight years, President Bush and his Republican allies ignored growing risks in the financial markets as Wall Street and big banks exploited loopholes and harmed America's families and small businesses. Their failure to regulate financial markets and control these risks left Wall Street and the big banks to gamble with our money, which compromised our future, our savings, and the American Dream. We know what happened: the worst financial crisis since the Great Depression.That's why Mark has supported legislation that will end taxpayer-funded bailouts and ""too big to fail' financial institutions, protect consumers from predatory lending, safeguard our retirement and college savings from unnecessary risks, and inject transparency and new accountability into a financial system run amok.Mark thinks we can't afford to spend another dime on more taxpayer-funded bank bailouts that leave consumers and small business owners in Michigan behind. We simply can't afford to put our economic recovery at risk by allowing Wall Street bankers to police themselves.",Issue Position: Wall Street Accountability
0,Mark Schauer,"Mark was a proud supporter of legislation signed into law this year that will help fix our broken health care system. Doing nothing would've allowed the powerful health insurance companies to keep raising premiums on Michigan families and businesses by double digits each year, Medicare would be put at risk for Michigan seniors, and the federal deficit would continue to skyrocket. Mark felt this course was simply unsustainable.Health care reform will ban health insurance companies from denying coverage due to pre-existing conditions or the loss of a job, close the Medicare prescription drug donut hole for 9,600 seniors in the 7th district, extend coverage to 24,000 uninsured local residents, cut the federal deficit by $1.3 trillion, and allow the American people to sign up for the same kind of quality, affordable, private health insurance plans that are available to members of Congress.In the days leading up to the final vote on health care reform, the health insurance industry spent nearly $400,000 on ads attacking Mark in a desperate attempt to scare Michigan families and maintain the status quo. Despite this massive misinformation campaign, Mark made it clear that he doesn't work for the powerful health insurance industry - he works for the people of Michigan, and isn't afraid to do what's right to fix our broken health care system and get our economy back on track.",Issue Position: Health Care
0,Mark Schauer,"Unfair trade deals have forced Michigan businesses and workers to compete on an uneven playing field with other countries, costing us hundreds of thousands of jobs over the past decade. When Mark ran for Congress in 2008, he made a promise that the first bill he'd sign up to support would tackle these unfair trade deals - and less than two weeks after taking office, he kept that promise by co-sponsoring the Trade Enforcement Act.Since then, Mark has supported legislation to fully repeal NAFTA - which has hurt Michigan manufacturers and sent hundreds of thousands of jobs to Mexico.Additionally, after discovering that materials used to promote the 2010 Census were made in China earlier this year, Mark introduced a bill that would ban Chinese companies from bidding on contracts with the U.S. government, since China has blocked American companies from its own government contracts.Mark is committed to leveling the playing field for Michigan businesses and workers by fighting for fair trade policies that will help put people back to work.",Issue Position: Trade
0,Mark Schauer,"Issue position: Economic StewardshipMichigan's economic success depends on creating strong trade policies that take into account the needs of American manufacturers and workers, addressing the health care crisis, advancing renewable energy policies that help create jobs and protect our resources, and tackling this foreclosure crisis.The Bush Administration and the Republicans in Congress have refused to enforce or pursue strong trade policies and the outsourcing crisis. I would join with Senators Levin and Stabenow as well as Michigan's Congressional delegation to demand a strong stance on trade - one that protects jobs and allows Michigan--and the United States--to compete.In the state Senate, I have worked to bring business and labor together to protect and expand jobs in our area. I've worked with Michigan companies like Kellogg's, Duncan Aviation, Michigan International Speedway, Sparton Corporation, Eaton Aerospace and others, helping them to stay in Michigan and grow their businesses. And I have always supported Michigan workers - voting for an increase in the minimum wage, fighting to protect the earned income tax credit that helps low-income workers, and teaming up with former Congressman Joe Schwarz to save the Battle Creek Air National Guard Base.",Issue position: Economic Stewardship
